YEAR,MO,DY,ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) , Insolation Clearness Index (dimensionless) (Fraction of insolation at the top of the atmosphere which reaches the surface of the earth)
2018,1,1,2.29,0.36
2018,1,2,2.58,0.4
2018,1,3,3.18,0.49
2018,1,4,1.73,0.27
2018,1,5,1.18,0.18
2018,1,6,1.02,0.16
2018,1,7,0.4,0.06
2018,1,8,0.94,0.14
2018,1,9,0.81,0.12
2018,1,10,2.72,0.41
2018,1,11,2.18,0.33
2018,1,12,3.11,0.47
2018,1,13,2.79,0.42
2018,1,14,4.04,0.6
2018,1,15,4.01,0.6
2018,1,16,3.2,0.47
2018,1,17,3.04,0.45
2018,1,18,2.16,0.32
2018,1,19,1.34,0.2
2018,1,20,1.57,-999
2018,1,21,1.59,0.23
2018,1,22,2.32,0.33
2018,1,23,3.28,0.47
2018,1,24,2.84,0.4
2018,1,25,2.21,0.31
2018,1,26,2.6,0.37
2018,1,27,2.15,0.3
2018,1,28,1.65,0.23
2018,1,29,0.73,0.1
2018,1,30,0.95,0.13
2018,1,31,1.85,0.25
2018,2,1,1.73,0.24
2018,2,2,1.66,0.23
2018,2,3,0.5,0.07
2018,2,4,0.93,0.12
2018,2,5,0.61,0.08
2018,2,6,1.15,0.15
2018,2,7,0.67,0.09
2018,2,8,1.31,0.17
2018,2,9,1.81,0.24
2018,2,10,1.96,0.25
2018,2,11,1.52,0.2
2018,2,12,2.21,0.28
2018,2,13,2.7,0.34
2018,2,14,4.41,0.56
2018,2,15,4.72,0.59
2018,2,16,3.57,0.45
2018,2,17,2.93,0.36
2018,2,18,4.67,0.57
2018,2,19,4.5,0.55
2018,2,20,3.93,0.48
2018,2,21,2.14,0.26
2018,2,22,1.3,0.16
2018,2,23,1.93,0.23
2018,2,24,2.47,0.29
2018,2,25,1.82,0.21
2018,2,26,2.85,0.33
2018,2,27,4.41,0.51
2018,2,28,1.39,0.16
2018,3,1,3.47,0.4
2018,3,2,3.17,0.36
2018,3,3,4.15,0.47
2018,3,4,2.67,0.3
2018,3,5,2.04,0.23
2018,3,6,2.22,0.25
2018,3,7,3.49,0.39
2018,3,8,0.88,0.1
2018,3,9,2.72,0.3
2018,3,10,5.31,0.58
2018,3,11,5.12,0.56
2018,3,12,5.31,0.58
2018,3,13,5.3,0.57
2018,3,14,3.12,0.34
2018,3,15,2.5,0.27
2018,3,16,2.77,0.3
2018,3,17,3.55,0.38
2018,3,18,4.56,0.48
2018,3,19,4.23,0.44
2018,3,20,2.25,0.24
2018,3,21,3.33,0.35
2018,3,22,4.89,0.51
2018,3,23,5.33,0.55
2018,3,24,4.97,0.51
2018,3,25,4.13,0.42
2018,3,26,4.43,0.45
2018,3,27,3.8,0.39
2018,3,28,4.35,0.44
2018,3,29,4.88,0.49
2018,3,30,3.56,0.36
2018,3,31,5.15,0.52
2018,4,1,4.05,0.4
2018,4,2,5.13,0.51
2018,4,3,3.86,0.38
2018,4,4,4.17,0.41
2018,4,5,4.46,0.44
2018,4,6,2.18,0.21
2018,4,7,0.83,0.08
2018,4,8,4.06,0.4
2018,4,9,6.08,0.59
2018,4,10,5.91,0.57
2018,4,11,5.19,0.5
2018,4,12,3.24,0.31
2018,4,13,5.15,0.5
2018,4,14,4.45,0.43
2018,4,15,2.26,0.22
2018,4,16,2.26,0.22
2018,4,17,1.8,0.17
2018,4,18,3.94,0.37
2018,4,19,4.36,0.41
2018,4,20,3.91,0.37
2018,4,21,3.73,0.35
2018,4,22,4.32,0.41
2018,4,23,5.19,0.49
2018,4,24,1.14,0.11
2018,4,25,2.97,0.28
2018,4,26,3.79,0.35
2018,4,27,3.1,0.29
2018,4,28,2.45,0.23
2018,4,29,3.62,0.34
2018,4,30,3.73,0.35
2018,5,1,4,0.37
2018,5,2,6.76,0.63
2018,5,3,1.43,0.13
2018,5,4,2.38,0.22
2018,5,5,4.2,0.39
2018,5,6,5.31,0.49
2018,5,7,2.64,0.24
2018,5,8,2.29,0.21
2018,5,9,1.62,0.15
2018,5,10,4.82,0.44
2018,5,11,4.59,0.42
2018,5,12,5.12,0.47
2018,5,13,6.33,0.58
2018,5,14,5.5,0.5
2018,5,15,5.56,0.51
2018,5,16,6.22,0.57
2018,5,17,5.85,0.53
2018,5,18,6.72,0.61
2018,5,19,5.89,0.53
2018,5,20,6.16,0.56
2018,5,21,4.85,0.44
2018,5,22,5.65,0.51
2018,5,23,4.41,0.4
2018,5,24,4.61,0.42
2018,5,25,6.06,0.55
2018,5,26,6.09,0.55
2018,5,27,7.2,0.65
2018,5,28,5.8,0.52
2018,5,29,6.23,0.56
2018,5,30,5.73,0.51
2018,5,31,5.42,0.49
2018,6,1,2.46,0.22
2018,6,2,3.95,0.35
2018,6,3,4.51,0.4
2018,6,4,5.37,0.48
2018,6,5,5.72,0.51
2018,6,6,5.1,0.46
2018,6,7,4.59,0.41
2018,6,8,5.61,0.5
2018,6,9,6.03,0.54
2018,6,10,3.53,0.32
2018,6,11,2.04,0.18
2018,6,12,6.19,0.55
2018,6,13,4.04,0.36
2018,6,14,3.51,0.31
2018,6,15,2.7,0.24
2018,6,16,6.08,0.54
2018,6,17,3.82,0.34
2018,6,18,2.55,0.23
2018,6,19,2.6,0.23
2018,6,20,2.13,0.19
2018,6,21,4.03,0.36
2018,6,22,4.03,0.36
2018,6,23,3.39,0.3
2018,6,24,5.18,0.46
2018,6,25,5.91,0.53
2018,6,26,6.75,0.6
